vesselId,letterPart_호제외,number_호있는것,number_호없는것,koreanNameCandidates
0fc96f663-3400-6155-4ee3-28b5dfc1dc0c,YOU WAN,,,유완
0fcb42b80-0f85-21e2-a608-370366a35ff2,DONG HWA,,,동화
0fd0fab4c-ca7e-9123-f31c-505fe409a191,NAMJU,,,남주
0fec317df-f773-b40b-ee0c-0939bbef336c,NEW EINS,,,
1002411a0-0949-1551-3d32-a26157f65572,UNHWA,,305,운화 | 은화
1002cbd66-6b20-3b26-845d-8861bdb0edc9,PERFECT,,,
1009942a0-0e08-da0b-b97b-8c03da948b14,CLAS,,,
10252872d-def4-035c-e051-221c9493310f,HAE MAEN,,,
102775d88-839a-7539-4d64-c6e5a9d18adb,KCG,,122,
102f9ec65-5f76-f0c1-9d09-c16c0c32ee59,SUNGUN,,,성운 | 승운 | 숭운
1033d49b4-4e14-0e60-a8aa-661604d9eec4,POO REUM,101호,,
1035ab55d-d83e-d503-1de4-12bd9a4a924e,TAE YANG,,11,태양
105c56256-6c7c-1c3e-d306-9cba404c584e,CHANG SEONG,,,창성
106f02147-74d4-29e2-9063-1799dec871b8,TAE JIN,,,태진
10815bf40-0972-5c2a-e912-4a915d8d5a80,HAE YANG,,,해양
1082e74f3-3d9a-0cde-f5c6-f33f15523593,BUL KWEYNG,,,불경
1096af3a5-555b-07fd-032e-c98dc04f43f1,HAEJIN,,,해진
10b0f345d-d7c0-f2db-9c9f-63703379cdaf,SUBOG,,,수복
10bd33d35-537b-0a85-b3dc-53785cb4e139,DEAHAN,998호,,대한
10c3b7ffd-d68b-4184-4be0-8ad9a6e90eaa,IL GWANG BA DA,,,일광바다 | 일광바대
10c84838e-e88b-0789-ae1a-02e3e81f54da,JUBILEE,,,주비리 | 주비이
10d415e73-3c5c-0ef9-195a-dde818c8c2de,DONG WON,,,동원
10dabb40b-b1f4-466e-a684-20c9036bb7c8,DAE YANG,,,대양
10e79ddd6-65c3-d576-b559-4102a7960a42,HAHAHO,,,하하
10f6d2fda-a88e-4a71-39c6-ab41b934787b,SUPERMARINE,,,
111af097d-d198-c330-413d-3544c5343067,HAEUN,,,해운 | 해은 | 하은
1120cfacb-b870-b6fe-4c8e-1d032843355d,BYTE,,,
11246610a-a825-4899-490f-08f355b6a9e0,DAE YANG,,208,대양
1128ec0db-bbf0-bc31-2aa7-7cd74b100843,YUJIN,,7,유진
11426e308-8fc7-e688-878b-f8dc400a81de,HUIYUNG,,97,희영 | 희용
115089b21-1168-445d-f915-0a76b45ce5bd,SEUNG RI,,,승리 | 세웅리
1150a40dd-db33-1826-13e1-00b634235e4f,TAE GONG,,,태공
